OPE ID,School,City,State,Zip Code,Full Address,lat,lon,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,avg_loans_originated,# of Disbursements,$ of Disbursements,avg_loans_disbursed
41887,ASI CAREER INSTITUTE,TURNERSVILLE,NJ,8012,TURNERSVILLE NJ 8012 ,39.77,-75.06,Proprietary,Total,68,68,218656,3215.529412,68,109344,1608
42040,ASPEN BEAUTY ACADEMY - LAUREL,LAUREL,MD,20724,LAUREL MD 20724 ,39.10,-76.82,Proprietary,Total,307,307,1410187,4593.442997,307,705070,2296.644951
40803,ASPEN UNIVERSITY,DENVER,CO,80222,DENVER CO 80222 ,39.69,-104.94,Proprietary,Total,10784,11210,69450710,6195.424621,11210,37218844,3320.146655
42425,ASSOCIATED BARBER COLLEGE OF SAN DIEGO,SAN DIEGO,CA,92101,SAN DIEGO CA 92101 ,32.74,-117.18,Proprietary,Total,167,167,864711,5177.91018,179,456576,2550.703911
2118,ASSUMPTION UNIVERSITY,WORCESTER,MA,1615,WORCESTER MA 1615 ,42.24,-71.83,Private-Nonprofit,Total,24038,24113,143998161,5971.806121,24113,73019650,3028.227512
40383,ATA COLLEGE,LOUISVILLE,KY,40223,LOUISVILLE KY 40223 ,38.25,-85.56,Proprietary,Total,4167,4167,17261680,4142.471802,4719,6832696,1447.911846
35324,ATA COLLEGE,EL CAJON,CA,92020,EL CAJON CA 92020 ,32.79,-116.97,Proprietary,Total,115,115,296735,2580.304348,115,148399,1290.426087
40603,ATA COLLEGE,TULSA,OK,74146,TULSA OK 74146 ,36.08,-95.84,Proprietary,Total,32,44,71268,1619.727273,88,71268,809.8636364
41787,ATELIER ESTHETIQUE INSTITUTE OF ESTHETICS,NEW YORK,NY,10011,NEW YORK NY 10011 ,40.75,-74.00,Proprietary,Total,398,398,1615610,4059.321608,457,968650,2119.584245
41922,ATHENA CAREER ACADEMY,TOLEDO,OH,43615,TOLEDO OH 43615 ,41.65,-83.67,Proprietary,Total,2028,2028,7835068,3863.445759,2088,5018619,2403.553161
1008,ATHENS STATE UNIVERSITY,ATHENS,AL,35611,ATHENS AL 35611 ,34.79,-86.94,Public,Total,18637,18637,118082927,6335.940709,18637,60628798,3253.141493
37404,ATI COLLEGE,WHITTIER,CA,90603,WHITTIER CA 90603 ,33.94,-118.01,Proprietary,Total,448,448,1634616,3648.696429,448,768304,1714.964286
31045,ATLANTA INSTITUTE OF MUSIC AND MEDIA,DULUTH,GA,30096,DULUTH GA 30096 ,34.00,-84.17,Proprietary,Total,862,862,4973870,5770.150812,882,1733424,1965.333333
12165,ATLANTA METROPOLITAN STATE COLLEGE,ATLANTA,GA,30310,ATLANTA GA 30310 ,33.72,-84.42,Public,Total,5633,5633,23615600,4192.366412,5633,11868764,2107.005858
8543,ATLANTA TECHNICAL COLLEGE,ATLANTA,GA,30310,ATLANTA GA 30310 ,33.72,-84.42,Public,Total,11268,11320,48627376,4295.704594,22612,16278612,719.9103131
2596,ATLANTIC CAPE COMMUNITY COLLEGE,MAYS LANDING,NJ,8330,MAYS LANDING NJ 8330 ,39.46,-74.73,Public,Total,2322,2322,9333932,4019.781223,2322,4693120,2021.154177
42339,ATLANTIS UNIVERSITY,MIAMI,FL,33132,MIAMI FL 33132 ,25.78,-80.18,Proprietary,Total,304,304,4484200,14750.65789,304,2242100,7375.328947
1009,AUBURN UNIVERSITY,AUBURN,AL,36849,AUBURN AL 36849 ,32.60,-85.49,Public,Total,150339,150630,1694867154,11251.85656,152203,869560410,5713.162093
8310,AUBURN UNIVERSITY MONTGOMERY,MONTGOMERY,AL,36124,MONTGOMERY AL 36124 ,32.36,-86.24,Public,Total,43418,44620,256636098,5751.593411,44620,128690830,2884.151277
